name,address,phone,email,lat,lng,url,country,state,city,star_count,rating_count,zip,primary_category_name,category_name,Facebook Profile,Instagram Handle,LinkedIn,Twitter,WhatsApp,YouTube,TikTok
"Manipal Hospital Mysore","No. 85-86, Bangalore-Mysore Ring Road Junction Bannimantapa 'A' Layout, Siddique Nagar, Mandi Mohalla, Mysuru, Karnataka 570015, India","+91 1800 102 4647","info@manipalhospitals.com",12.3499753,76.6601803,"https://www.manipalhospitals.com/mysore/","India","Karnataka","Mysore",4.6,6085,"570015","General hospitals","Private hospitals,General hospitals","https://www.facebook.com/ManipalHospitalsIndia","https://www.instagram.com/manipalhospitals/","","https://twitter.com/ManipalHealth","https://wa.me/message/IDLPZV75N7QJJ1","https://www.youtube.com/channel/UCSljO84JCPeaefyHe-8voIg",""
"Vijayashree Hospitals","No.3, Bannerghatta Rd, near Dr. RML College of Law Annex, Jyothi Nagar, Bohra Layout, Gottigere, Bengaluru, Karnataka 560083, India","+91 96868 25522","vijayashreehospitals@gmail.com",12.8578458,77.589331,"http://www.vijayashreehospitals.org/","India","Karnataka","Bengaluru",3.2,334,"560083","General hospitals","General hospitals","https://www.facebook.com/VijayashreeHospitalsGottigere","https://www.instagram.com/vijayashreevijayashree/","","https://twitter.com/vijayashree2016","","https://www.youtube.com/@VijayashreeHospitals",""
"Rajarajeshwari Hospital","RAJARAJESHWARI MEDICAL COLLEGE AND HOSPITAL, 202, Mysore Rd, Kengeri Satellite Town, Kambipura, Karnataka 560074, India","+91 1800 4250 2222","info@rrmch.org",12.8962674,77.4617612,"http://www.rrmch.org/","India","Karnataka","Bengaluru",3.2,76,"560074","General hospitals","General hospitals","https://www.facebook.com/Rajarajeswari.Medical.College.Hospital.Bangalore","https://www.instagram.com/rajarajeswarimedicalcollege/","https://www.linkedin.com/school/rajarajeswari-medical-college-&-hospital/","https://twitter.com/rrmch","","http://www.youtube.com/user/rrhospitalblr",""
"A.J. Hospital & Research Centre","NH 66, Kuntikana, Mangaluru, Karnataka 575004, India","+91 824 222 5533","mailbox@ajhospital.in",12.8993521,74.8460278,"http://www.ajhospital.in/","India","Karnataka","Mangalore",4.4,3183,"575004","General hospitals","General hospitals","https://www.facebook.com/AJHOSPITALMNG/","https://www.instagram.com/ajhospitalin/","https://www.linkedin.com/company/aj-hospital-&-research-centre-mangalore-/about/","https://twitter.com/ajhospitalmng/","","https://www.youtube.com/embed/gsE79koWuVg",""
"Kusuma Hospital","10th Main Rd, 237/37, 50 Feet Main Rd, Nagendra Block, Srinagar, Banashankari, Bengaluru, Karnataka 560050, India","+91 87920 05001","kusumahospital@gmail.com",12.9419833,77.5508087,"https://kusumahospital.com/","India","Karnataka","Bengaluru",4.5,1751,"560050","General hospitals","Hospitals,General hospitals","https://www.facebook.com/kusumahospitalbl","https://www.instagram.com/kusumahospital_blr/","https://www.linkedin.com/company/kusuma-hospital/","https://twitter.com/Kusumahospitalb","","https://www.youtube.com/@Kusumahospital",""
"Marvel Multispeciality Hospital","Besides Bandhan Bank, 153, 1st Cross Rd, 1st Block Koramangala, Koramangala, Bengaluru, Karnataka 560034, India","+91 80 4114 4999","marvelhospital99@gmail.com",12.9254181,77.6359317,"http://www.marvelhospitals.in/","India","Karnataka","Bengaluru",4.2,977,"560034","General hospitals","General hospitals","https://www.facebook.com/Marvel-Multi-Speciality-Hospital-122049969195893/","https://www.instagram.com/marvelmutispecialityhospital/","https://www.linkedin.com/in/marvel-multi-speciality-hospital-b9b18726b/?original_referer=","https://twitter.com/HospitalMa93757","","https://www.youtube.com/channel/UCUVzlDAG7rzCdTqZGfb9lNA",""
"Jayadev Memorial Rashtrotthana Hospital and Research Centre","WG57+JFF, 5th Stage, Rajarajeshwari Nagar, Bengaluru, Karnataka 560098, India","+91 80 6923 9999","info@rashtrotthanahospital.com",12.9089844,77.5135509,"https://www.rashtrotthanahospital.com/","India","Karnataka","Bengaluru",4.7,365,"560098","General hospitals","General hospitals,Hospitals,Emergency rooms,Medical diagnostic imaging centers,Laboratories,Diagnostic centers","https://www.facebook.com/rashtrottanahospital?mibextid=ZbWKwL","https://www.instagram.com/rashtrotthanahospital/?utm_source=qr&igshid=ZDc4ODBmNjlmNQ%3D%3D","","https://twitter.com/Jmrhospital?t=ZC2y4TEE9mb1YOoYFmSYrw&s=09","","https://www.youtube.com/channel/UC5yBntegcZ_lR_IpfkbSVrA",""
"Nitte Gajria Hospital","62G8+738, Tellar Rd, Sheshadri Nagar, Karkala, Karnataka 574104, India","+91 99720 15635","nittegajria@nitte.edu.in",13.2256591,75.0152,"https://nittegajria.in/","India","Karnataka","",3.7,152,"574104","General hospitals","Hospitals,General hospitals","https://www.facebook.com/NITTEedu","https://www.instagram.com/nitteeducation/","","https://twitter.com/aboutnitte","","https://www.youtube.com/channel/UCNln_L2YkP-QCFLfIDumNZQ",""
"Bangalore Bowel Care","Ecity Dhaba, 1, Wellington Paradise, Singasandra, Bengaluru, Karnataka 560068, India","+91 81970 88434","info@bangalorebowelcare.com",12.8730721,77.6508727,"https://www.bangalorebowelcare.com/","India","Karnataka","Bengaluru",5,1,"560068","General hospitals","General hospitals","https://www.facebook.com/Bangalore-bowel-care-455972738245753/","https://www.instagram.com/narasimhaiahsrinivasaiah/","https://www.linkedin.com/in/narasimhaiah-srinivasaiah-a741177","https://twitter.com/Dr_Srinivasaiah","","https://www.youtube.com/channel/UCC2oP61BuFqIgDlj3Hfo8sw/videos",""
"Chord Road Hospital Private Limited","LIC Colony, 100/101, Shankar Mutt Rd, near Shankar Mutt, West of Chord Road, Basaveshwar Nagar, Bengaluru, Karnataka 560079, India","+91 80671 92222","frontdesk@chordroadhospital.com",12.9979781,77.5404612,"http://www.chordroadhospital.com/","India","Karnataka","Bengaluru",3.3,495,"560079","General hospitals","Hospitals,General hospitals","https://www.facebook.com/ChordRoadHospitals","https://www.instagram.com/chordroadhospitals/","","https://twitter.com/crhpvtltd","","",""
